100,1711,2,
252,1810,2,
400,1801,2,
457,1776,2,
4468,1256,2,
4362,1042,2,
4242,967,2,
4183,1085,2,
4428,869,2,
4668,782,2,
720,1666,2,
62,1816,2,
346,1881,2,
1122,1204,2,
35,612,2,
4751,567,2,
4712,549,2,
4671,615,2,
567,1257,2,
527,1184,2,
504,1165,2,
499,1134,2,
763,1184,2,
715,1112,2,
687,1114,2,
579,1785,2,
4693,731,2,
90,621,2,
510,1664,2,
107,1751,2,
25,1671,2,
125,1491,2,
457,1682,2,
450,1730,2,
427,1752,2,
281,1822,2,
224,1737,2,
187,1697,2,
160,1655,2,
124,1457,2,
77,1442,2,
42,580,2,
119,592,2,
4684,745,2,
12,1517,2,
1146,1289,2,
85,1645,2,
4418,1475,2,
4626,819,2,
4775,714,2,
4753,732,2,
4777,678,2,
4773,709,2,
4472,795,2,
4416,844,2,
4517,801,2,
4561,796,2,
4621,780,2,
172,1739,2,
4398,1186,2,
767,1104,2,
795,1119,2,
860,1181,2,
265,1785,2,
4733,1836,2,
4757,1875,2,
4386,1076,2,
1134,1341,2,
1171,1332,2,
4626,797,2,
456,1877,2,
40,1757,2,
4419,1466,2,
4757,1400,2,
4757,1436,2,
4693,1374,2,
1159,1214,2,
2,504,2,
4688,831,2,
4684,815,2,
4687,800,2,
4685,785,2,
4676,763,2,
4675,755,2,
151,674,2,
167,671,2,
187,671,2,
244,657,2,
222,659,2,
258,640,2,
264,619,2,
271,608,2,
4746,616,2,
4697,658,2,
4697,683,2,
65,1400,2,
68,1417,2,
577,1721,2,
4224,1064,2,
4275,1060,2,
476,1699,2,
1356,1463,2,
150,632,2,
70,610,2,
4772,609,2,
1438,1292,2,
1516,1315,2,
1585,1349,2,
1587,1301,2,
1682,1385,2,
1537,1445,2,
1436,1401,2,
1357,1386,2,
1416,1352,2,
1294,1341,2,
652,1719,2,
1226,1670,2,
286,1882,2,
4486,1374,2,
4746,1507,2,
1598,1515,2,
1619,1531,2,
1106,1791,2,
1149,1748,2,
1087,1726,2,
1061,1753,2,
1129,1249,2,
1144,1180,2,
1170,1187,2,
4522,1267,2,
4603,837,2,
52,1655,2,
70,1698,2,
300,1841,2,
387,1821,2,
455,1814,2,
1215,1231,2,
1256,1250,2,
1299,1251,2,
32,1537,2,
3556,1149,2,
4060,1133,2,
4054,1075,2,
4538,908,2,
2559,1812,2,
2429,1824,2,
1645,1590,2,
2106,1969,2,
1596,1264,2,
4046,1085,2,
4206,937,2,
4232,929,2,
4381,1080,2,
4386,1032,2,
4394,1005,2,
4391,944,2,
4399,877,2,
4408,855,2,
2339,2044,2,
1976,1995,2,
4609,782,2,
287,472,2,
1167,1407,2,
1195,1387,2,
1813,1969,2,
1861,1983,2,
